iib_code,eq_zone,eq_rate
2027,Zone III,0.1
2028,Zone III,0.1
2029,Zone III,0.1
2030,Zone III,0.1
2031,Zone III,0.1
2032,Zone III,0.1
2033,Zone III,0.1
2034,Zone III,0.1
2035,Zone III,0.1
2036,Zone III,0.1
2037,Zone III,0.1
2038,Zone III,0.1
2039,Zone III,0.1
2040,Zone III,0.1
2041,Zone III,0.1
2042,Zone III,0.1
2043,Zone III,0.1
2044,Zone III,0.1
2045,Zone III,0.1
2046,Zone III,0.1
2047,Zone III,0.1
2048,Zone III,0.1
2049,Zone III,0.1
2050,Zone III,0.1
2051,Zone III,0.1
2229,Zone III,0.1
2230,Zone III,0.1
2052,Zone III,0.1
2053,Zone III,0.1
2054,Zone III,0.1
2055,Zone III,0.1
2213,Zone III,0.1
2056,Zone III,0.1
2057,Zone III,0.1
2058,Zone III,0.1
2059,Zone III,0.1
2060,Zone III,0.1
2061,Zone III,0.1
2209,Zone III,0.1
2062,Zone III,0.1
2063,Zone III,0.1
2064,Zone III,0.1
2065,Zone III,0.1
2066,Zone III,0.1
2067,Zone III,0.1
2068,Zone III,0.1
2069,Zone III,0.1
2070,Zone III,0.1
2210,Zone III,0.1
2220,Zone III,0.1
2217,Zone III,0.1
2218,Zone III,0.1
2219,Zone III,0.1
2221,Zone III,0.1
2071,Zone III,0.1
2072,Zone III,0.1
2073,Zone III,0.1
2074,Zone III,0.1
2075,Zone III,0.1
2222,Zone III,0.1
2223,Zone III,0.1
2224,Zone III,0.1
2225,Zone III,0.1
2226,Zone III,0.1
2227,Zone III,0.1
2076,Zone III,0.1
2228,Zone III,0.1
2077,Zone III,0.1
2078,Zone III,0.1
2079,Zone III,0.1
2080,Zone III,0.1
2081,Zone III,0.1
2082,Zone III,0.1
2083,Zone III,0.1
2084,Zone III,0.1
2085,Zone III,0.1
2086,Zone III,0.1
2087,Zone III,0.1
2088,Zone III,0.1
2089,Zone III,0.1
2090,Zone III,0.1
2091,Zone III,0.1
2092,Zone III,0.1
2093,Zone III,0.1
2094,Zone III,0.1
2095,Zone III,0.1
2096,Zone III,0.1
2097,Zone III,0.1
2098,Zone III,0.1
2099,Zone III,0.1
2100,Zone III,0.1
2101,Zone III,0.1
2102,Zone III,0.1
2103,Zone III,0.1
2104,Zone III,0.1
2105,Zone III,0.1
2106,Zone III,0.1
2107,Zone III,0.1
2108,Zone III,0.1
2109,Zone III,0.1
2110,Zone III,0.1
2111,Zone III,0.1
2112,Zone III,0.1
2113,Zone III,0.1
2114,Zone III,0.1
2115,Zone III,0.1
2116,Zone III,0.1
2117,Zone III,0.1
2118,Zone III,0.1
2119,Zone III,0.1
2120,Zone III,0.1
2121,Zone III,0.1
2122,Zone III,0.1
2123,Zone III,0.1
2124,Zone III,0.1
2125,Zone III,0.1
2126,Zone III,0.1
2127,Zone III,0.1
2128,Zone III,0.1
2129,Zone III,0.1
2130,Zone III,0.1
2131,Zone III,0.1
2132,Zone III,0.1
2214,Zone III,0.1
2133,Zone III,0.1
2134,Zone III,0.1
2135,Zone III,0.1
2136,Zone III,0.1
2137,Zone III,0.1
2138,Zone III,0.1
